Customer_Name	Article_Number	Stock	Base_Unit	Article_Name	Withdrawals
E	129821800	1.0	ST	TOOTHED BELT 5500X50  KL4500	0.0
E	130241404	1.0	ST	TOOTHED BELT ATP 50X10X1150	0.0
E	131209700	1.0	ST	TOOTHED BELT GT 50X 8X1760	0.0
E	131672130	4.0	ST	O-RING 37,69X3,53	12.0
E	131953400	1.0	ST	LIGHT BARRIER 24 VDC	0.0
E	136481820	64.0	ST	NO-CRUSH-ROLLER 180X65X50	604.0
E	138378900	0.0	ST	NAIL BAR 20X8X203,5	0.0
E	140172800	0.0	ST	FILTER ELEMENT FÜR 50/60HZ	0.0
E	144934001	0.0	ST	EXPANDED RUBBER DISK D 335 MM	0.0
E	144936900	0.0	ST	EXPANDED RUBBER DISK D200/86X70	2.0
E	148187700	1.0	ST	TOOTHED BELT GT 85X 8X1600	0.0
E	150337628	1.0	ST	PRESSURE BELT II-QUALITY 2860X 2930	6.0
E	150697601	2.0	ST	PNEUMATIC CYLINDER 25X 40	9.0
E	155448002	4.0	ST	BHS-ACTIVE DECALCER 2,5L	6.0
E	155470310	1.0	ST	EMERGENCY STOP MODULE 8I/24 VDC	0.0
E	157004600	2.0	ST	TOOTHED BELT GT 30X8X1760	0.0
E	158530200	1.0	ST	TOOTHED BELT HTD 15X5X425	0.0
E	162372800	1.0	ST	EMERGENCY STOP MODULE 24VDC 5S/1Ö	0.0
E	163270928	1.0	ST	SCRAPER BLADE CORRUDUR® 2850X50X1,5	4.0
E	163764802	1.0	ST	LIGHT BARRIER	0.0
E	171504300	1.0	ST	SEAL 33X172X68	0.0
E	171504400	1.0	ST	SEAL 33X68X172LG	0.0
E	171504500	1.0	ST	SEAL 33X68X172LG	0.0
E	173687700	2.0	ST	TORX SOCKET GR.TX40 1/2-ZOLL	5.0
E	177592300	192.0	ST	PLATE SPRING 8,4X15X2	482.0
E	177671310	4.0	ST	ADHESIVE LABEL	8.0
E	179080600	1.0	ST	TOOTHED BELT 4550X50  KL3600	0.0
E	182384600	1.0	ST	TOOTHED BELT 50 AT10/2000	0.0
E	182602000	25.0	M	NAP FOIL 50 MM BR/25 M	25.0
E	185000000	1.0	ST	TRANSMITTER 11-27 VDC	0.0
E	191757200	16.0	ST	LENS HEAD SCREW M8X16	40.0
E	191757201	192.0	ST	LENS HEAD SCREW M8X25	480.0
E	194858404	1.0	ST	FREQUENCY CONTROLLER 320-550V/9,5A/45-65	0.0
E	194858405	1.0	ST	FREQUENCY CONTROLLER 320-550V/13A/45-65H	0.0
E	194858407	1.0	ST	FREQUENCY CONTROLLER 2.4A/320-550V/0.75K	0.0
E	194858418	1.0	ST	FREQUENCY CONTROLLER 23,5A 11KW 320-550V	0.0
E	197617200	1.0	ST	PROXIMITY SWITCH 10-30VDC/PNP/NPN/4MM	2.0
E	197617300	2.0	ST	PROXIMITY SWITCH 10-30VDC/PNP/4MM	2.0
E	199825800	0.0	ST	PERFLU V250 HIGH TEMP 800G 400ML	36.0
E	199825802	6.0	ST	PERFLU H1 HIGH TEMP 0,8KG	27.0
E	204231228	0.0	ST	KNIFE 1440X50X1.5	0.0
E	242869600	2.0	ST	ULTRA-SONIC SENSOR L74MM	1.0
E	851002170	1.0	ST	COMPRESSED-AIR MOTOR	0.0
E	991430432	1.0	ST	TOOTHED BELT HTD 30X 8X 480	0.0
E	171641.01	1.0	ST	PROXIMITY SWITCH	0.0
E	181300.02	0.0	ST	SEAL D116X99X2	0.0
E	184298.08	1.0	ST	SCRAPER BLADE 2865X50X0,8 MM	1.0
