Customer_Name	Article_Number	Stock	Base_Unit	Article_Name	Withdrawals
A	194858419	1.0	ST	FREQUENCY CONTROLLER 400-500V/13A/50-60H	0.0
A	194858420	1.0	ST	FREQUENCY CONTROLLER 40A/18,5KW/320-550V	0.0
A	194858600	1.0	ST	FREQUENCY CONTROLLER 400-500V/50-60H, 0,	0.0
A	196992000	1.0	ST	CONTROL	0.0
A	197300001	1.0	ST	COMPONENT GROUP	0.0
A	197617200	1.0	ST	PROXIMITY SWITCH 10-30VDC/PNP/NPN/4MM	1.0
A	197617300	1.0	ST	PROXIMITY SWITCH 10-30VDC/PNP/4MM	0.0
A	204231295	2.0	ST	KNIFE 1300X50X1.5	4.0
A	206103704	10.0	ST	BRUSH 1,5X250X510	6.0
A	209361702	1.0	ST	FABRIC TAPE 120 MM BREIT	0.0
A	218699100	4.0	ST	SEALING RING D=59,5 L=5	0.0
A	225992610	1.0	ST	COMMUNICATION MODULE 10 PORTS	0.0
A	231774001	1.0	ST	MODULE	0.0
A	237993900	2.0	ST	RADIAL SHAFT SEAL AS 60X75X8	0.0
A	240692500	2.0	ST	TOOTHED BELT AT 50X10X1480	0.0
A	253000310	1.0	ST	CONTACTOR 110KW 24VDC 2S/2Ö	0.0
A	271187300	1.0	ST	SENSOR 4-20MA/24VDC	0.0
A	277327100	1.0	ST	MONITORING SENSOR 24 VDC	0.0
A	277572802	1.0	ST	MONITORING SENSOR 24 VDC	0.0
A	277572803	1.0	ST	MONITORING SENSOR 24 VDC	0.0
A	280768800	4.0	ST	EMERGENCY STOP MODULE B22,5H96,5,T120	0.0
A	280768801	4.0	ST	EMERGENCY STOP MODULE B22,5H96,5,T120	0.0
A	280768802	4.0	ST	EMERGENCY STOP MODULE B22,5H96,5T120	0.0
A	281400020	1.0	ST	MOTOR PROTECTION SWITCH BREITE 22,5MM	1.0
A	287805700	2.0	ST	PROXIMITY SWITCH 10-30VDC/M12/PNP/2MM	3.0
A	289958800	2.0	ST	CABLE, PIECES 0,6M M8X1	1.0
A	295324030	1.0	ST	CONVERTER 1XELEKTRONIK 1XSENSOR	0.0
A	181300.02	12.0	ST	SEAL D116X99X2	18.0
A	511387.01	30.0	ST	BRUSH 2,0X400X510	2.0
