Customer_Name	Article_Number	Stock	Base_Unit	Article_Name	Withdrawals
B	112314200	1.0	ST	LIGHT BARRIER 5-500MM	0.0
B	112614200	1.0	ST	CONVERTER 24 VDC	0.0
B	116904600	50.0	KG	COLOUR FOR BOARD MARKING QUAL.NR.7100-93	75.0
B	117287910	1.0	ST	CABLE 10M PVC 5X0,34MM² M12X1	0.0
B	118190803	1.0	ST	RESISTOR 3X20 OHM/1,2KW	0.0
B	119814002	3.0	ST	LIMIT SWITCH SCHARNIER 3Ö	0.0
B	123052310	28.0	ST	NO-CRUSH-ROLLER 165X65X50	28.0
B	123052320	16.0	ST	NO-CRUSH-ROLLER 165X65X50	16.0
B	123596200	21.0	ST	SPACER RING L49XID70XW4	0.0
B	124352302	1.0	ST	TRANSMITTER 11-27 VDC	0.0
B	126292402	4.0	ST	BRUSH ROLL SEGMENT 300X203X216MM	0.0
B	127465400	1.0	ST	LIMIT SWITCH 2Ö/1S	0.0
B	130343910	1.0	ST	PROXIMITY SWITCH 10-30VDC;PNP;M8	0.0
B	136481820	21.0	ST	NO-CRUSH-ROLLER 180X65X50	21.0
B	140957600	20.0	ST	LUBRICATION CARTRIDGE 120-ML	10.0
B	144934001	21.0	ST	EXPANDED RUBBER DISK D 335 MM	0.0
B	155470300	1.0	ST	EMERGENCY STOP MODULE 2I/2Q	0.0
B	155470310	1.0	ST	EMERGENCY STOP MODULE 8I/24 VDC	0.0
B	155470311	1.0	ST	EMERGENCY STOP MODULE 24 VDC 5I/1I	0.0
B	155470320	1.0	ST	EMERGENCY STOP MODULE 24VDC 4Q	0.0
B	155470321	1.0	ST	EMERGENCY STOP MODULE 24 VDC 3Q	0.0
B	155470330	1.0	ST	EMERGENCY STOP MODULE B45H84T121MM	0.0
B	162372800	3.0	ST	EMERGENCY STOP MODULE 24VDC 5S/1Ö	0.0
B	163270928	2.0	ST	SCRAPER BLADE CORRUDUR® 2850X50X1,5	0.0
B	163600428	2.0	ST	SCRAPER BLADE 2860X50X1,5	0.0
B	163600457	2.0	ST	SCRAPER BLADE 2860X50X1,5	0.0
B	163764801	1.0	ST	LIGHT BARRIER 10-30V DC	0.0
B	165512928	1.0	ST	CONTACT BAR AB2800	0.0
B	171115200	0.0	ST	PRESSURE BELT I-QUALITY 2560X 2930	0.0
B	171115220	0.0	ST	PRESSURE BELT I-QUALITY 2860X 2930	7.0
B	173687700	1.0	ST	TORX SOCKET GR.TX40 1/2-ZOLL	2.0
B	177592300	96.0	ST	PLATE SPRING 8,4X15X2	192.0
B	177671310	2.0	ST	ADHESIVE LABEL	4.0
B	178188400	1.0	ST	LIGHT BARRIER 24 VDC	0.0
B	178188401	1.0	ST	LIGHT BARRIER 24 VDC	0.0
B	182602000	25.0	M	NAP FOIL 50 MM BR/25 M	0.0
B	184697005	1.0	ST	CONTROL BLOCK	1.0
B	189331801	1.0	ST	GEAR WITH LIMIT SWITCHES 24 VDC	0.0
B	191757200	8.0	ST	LENS HEAD SCREW M8X16	16.0
B	191757201	96.0	ST	LENS HEAD SCREW M8X25	192.0
B	192468000	2.0	ST	PROXIMITY SWITCH E2A-M18LS08-M1-B1	0.0
B	193628800	2.0	ST	LIGHT BARRIER 10-30V DC	0.0
B	193628801	2.0	ST	LIGHT BARRIER 10-30V DC	0.0
B	194858404	1.0	ST	FREQUENCY CONTROLLER 320-550V/9,5A/45-65	0.0
B	194858413	1.0	ST	FREQUENCY CONTROLLER 320-550V/5,8A/45-65	0.0
B	194858415	1.0	ST	FREQUENCY CONTROLLER 11.7A/320-550V/45-6	0.0
B	194858419	1.0	ST	FREQUENCY CONTROLLER 400-500V/13A/50-60H	0.0
B	194858600	1.0	ST	FREQUENCY CONTROLLER 400-500V/50-60H, 0,	0.0
B	197617200	1.0	ST	PROXIMITY SWITCH 10-30VDC/PNP/NPN/4MM	0.0
B	197617300	1.0	ST	PROXIMITY SWITCH 10-30VDC/PNP/4MM	0.0
B	204231297	2.0	ST	KNIFE 1440X50X1.5	0.0
B	287805700	1.0	ST	PROXIMITY SWITCH 10-30VDC/M12/PNP/2MM	0.0
